Time,Event,Value
422.876,AccDirty,67
422.876,AccPause,1379
422.882,AccDirty,67
422.882,AccPause,1384
422.888,AccDirty,67
422.888,AccPause,1389
422.894,AccDirty,67
422.894,AccPause,1394
422.900,AccDirty,67
422.900,AccPause,1399
422.906,AccDirty,67
422.906,AccPause,1404
422.912,AccDirty,67
422.912,AccPause,1409
422.918,AccDirty,67
422.918,AccPause,1414
422.924,AccDirty,67
422.924,AccPause,1419
422.930,AccDirty,67
422.930,AccPause,1424
422.936,AccDirty,67
422.936,AccPause,1429
422.942,AccDirty,67
422.942,AccPause,1434
422.948,AccDirty,67
422.948,AccPause,1439
422.954,AccDirty,67
422.954,AccPause,1444
422.960,AccDirty,67
422.960,AccPause,1449
422.966,AccDirty,67
422.966,AccPause,1454
422.972,AccDirty,67
422.972,AccPause,1459
422.978,AccDirty,67
422.978,AccPause,1464
422.984,AccDirty,67
422.984,AccPause,1469
422.990,AccDirty,67
422.990,AccPause,1474
422.996,AccDirty,67
422.996,AccPause,1479
423.002,AccDirty,67
423.002,AccPause,1484
423.008,AccDirty,67
423.008,AccPause,1489
423.014,AccDirty,67
423.014,AccPause,1494
423.020,AccDirty,67
423.020,AccPause,1499
423.026,AccDirty,67
423.026,AccPause,1504
423.032,AccDirty,67
423.032,AccPause,1509
423.038,AccDirty,67
423.038,AccPause,1514
423.044,AccDirty,67
423.044,AccPause,1519
423.050,AccDirty,67
423.050,AccPause,1524
423.056,AccDirty,67
423.056,AccPause,1529
423.062,AccDirty,67
423.062,AccPause,1534
423.068,AccDirty,67
423.069,AccPause,1539
423.074,AccDirty,67
423.074,AccPause,1544
423.080,AccDirty,67
423.080,AccPause,1549
423.086,AccDirty,67
423.086,AccPause,1554
423.092,AccDirty,67
423.092,AccPause,1559
423.098,AccDirty,67
423.098,AccPause,1564
423.104,AccDirty,67
423.104,AccPause,1569
423.110,AccDirty,67
423.110,AccPause,1574
423.116,AccDirty,67
423.116,AccPause,1579
423.122,AccDirty,67
423.122,AccPause,1584
423.128,AccDirty,67
423.128,AccPause,1589
423.134,AccDirty,67
423.134,AccPause,1594
423.140,AccDirty,67
423.140,AccPause,1599
423.146,AccDirty,67
423.147,AccPause,1604
423.152,AccDirty,67
423.153,AccPause,1609
423.158,AccDirty,67
423.159,AccPause,1614
423.164,AccDirty,67
423.165,AccPause,1619
423.171,AccDirty,67
423.171,AccPause,1624
423.177,AccDirty,67
423.177,AccPause,1629
423.183,AccDirty,67
423.183,AccPause,1634
423.189,AccDirty,67
423.189,AccPause,1639
423.195,AccDirty,67
423.195,AccPause,1644
423.201,AccDirty,67
423.201,AccPause,1649
423.207,AccDirty,67
423.207,AccPause,1654
423.213,AccDirty,67
423.213,AccPause,1659
423.219,AccDirty,67
423.219,AccPause,1664
423.225,AccDirty,67
423.225,AccPause,1669
423.231,AccDirty,67
423.231,AccPause,1674
423.237,AccDirty,67
423.237,AccPause,1679
423.243,AccDirty,67
423.243,AccPause,1684
423.249,AccDirty,67
423.249,AccPause,1689
423.255,AccDirty,67
423.255,AccPause,1694
423.261,AccDirty,67
423.261,AccPause,1699
423.267,AccDirty,67
423.267,AccPause,1704
423.273,AccDirty,67
423.273,AccPause,1709
423.279,AccDirty,67
423.279,AccPause,1714
423.285,AccDirty,67
423.285,AccPause,1719
423.291,AccDirty,67
423.291,AccPause,1724
423.297,AccDirty,67
423.297,AccPause,1729
423.303,AccDirty,67
423.303,AccPause,1734
423.309,AccDirty,67
423.309,AccPause,1739
423.315,AccDirty,67
423.315,AccPause,1744
423.321,AccDirty,67
423.321,AccPause,1749
423.327,AccDirty,67
423.327,AccPause,1754
423.333,AccDirty,67
423.333,AccPause,1759
423.339,AccDirty,67
423.339,AccPause,1764
423.345,AccDirty,67
423.345,AccPause,1769
423.351,AccDirty,67
423.351,AccPause,1774
423.357,AccDirty,67
423.357,AccPause,1779
423.363,AccDirty,67
423.363,AccPause,1784
423.369,AccDirty,67
423.369,AccPause,1789
423.375,AccDirty,67
423.375,AccPause,1794
423.381,AccDirty,67
423.381,AccPause,1799
423.387,AccDirty,67
423.387,AccPause,1804
423.393,AccDirty,67
423.393,AccPause,1809
423.399,AccDirty,67
423.399,AccPause,1814
423.405,AccDirty,67
423.405,AccPause,1819
423.411,AccDirty,67
423.411,AccPause,1824
423.417,AccDirty,67
423.417,AccPause,1829
423.423,AccDirty,67
423.423,AccPause,1834
423.429,AccDirty,67
423.429,AccPause,1839
423.435,AccDirty,67
423.435,AccPause,1844
423.441,AccDirty,67
423.441,AccPause,1849
423.447,AccDirty,67
423.447,AccPause,1854
423.453,AccDirty,67
423.453,AccPause,1859
423.459,AccDirty,67
423.459,AccPause,1864
423.465,AccDirty,67
423.465,AccPause,1869
423.471,AccDirty,67
423.471,AccPause,1874
423.477,AccDirty,67
423.477,AccPause,1879
423.483,AccDirty,67
423.483,AccPause,1884
423.489,AccDirty,67
423.489,AccPause,1890
423.496,AccDirty,67
423.496,AccPause,1896
423.503,AccDirty,67
423.503,AccPause,1902
423.510,AccDirty,67
423.510,AccPause,1908
423.517,AccDirty,67
423.517,AccPause,1914
423.524,AccDirty,67
423.524,AccPause,1920
423.531,AccDirty,67
423.531,AccPause,1926
423.538,AccDirty,67
423.538,AccPause,1932
423.545,AccDirty,67
423.545,AccPause,1938
423.552,AccDirty,67
423.552,AccPause,1944
423.559,AccDirty,67
423.559,AccPause,1950
423.566,AccDirty,67
423.566,AccPause,1956
423.573,AccDirty,67
423.573,AccPause,1962
423.580,AccDirty,67
423.580,AccPause,1968
423.587,AccDirty,67
423.587,AccPause,1974
423.594,AccDirty,67
423.594,AccPause,1980
423.601,AccDirty,67
423.601,AccPause,1986
423.608,AccDirty,67
423.608,AccPause,1992
423.615,AccDirty,67
423.615,AccPause,1998
423.622,AccDirty,67
423.622,AccPause,2004
423.629,AccDirty,67
423.629,AccPause,2010
423.636,AccDirty,67
423.637,AccPause,2016
423.643,AccDirty,67
423.644,AccPause,2022
423.650,AccDirty,67
423.651,AccPause,2028
423.658,AccDirty,67
423.658,AccPause,2034
423.665,AccDirty,67
423.665,AccPause,2040
423.672,AccDirty,67
423.672,AccPause,2046
423.679,AccDirty,67
423.679,AccPause,2052
423.686,AccDirty,67
423.686,AccPause,2058
423.693,AccDirty,67
423.693,AccPause,2064
423.700,AccDirty,67
423.700,AccPause,2070
423.707,AccDirty,67
423.707,AccPause,2076
423.714,AccDirty,67
423.714,AccPause,2082
423.721,AccDirty,67
423.721,AccPause,2088
423.728,AccDirty,67
423.728,AccPause,2094
423.735,AccDirty,67
423.735,AccPause,2100
423.742,AccDirty,67
423.742,AccPause,2106
423.749,AccDirty,67
423.749,AccPause,2112
423.756,AccDirty,67
423.756,AccPause,2118
423.763,AccDirty,67
423.763,AccPause,2124
423.770,AccDirty,67
423.770,AccPause,2130
423.777,AccDirty,67
423.777,AccPause,2136
423.784,AccDirty,67
423.784,AccPause,2142
423.791,AccDirty,67
423.791,AccPause,2148
423.798,AccDirty,67
423.798,AccPause,2154
423.805,AccDirty,67
423.805,AccPause,2160
423.812,AccDirty,67
423.812,AccPause,2166
423.819,AccDirty,67
423.819,AccPause,2172
423.826,AccDirty,67
423.826,AccPause,2178
423.833,AccDirty,67
423.833,AccPause,2184
423.840,AccDirty,67
423.840,AccPause,2190
423.847,AccDirty,67
423.847,AccPause,2196
423.854,AccDirty,67
423.854,AccPause,2202
423.861,AccDirty,67
423.861,AccPause,2208
423.868,AccDirty,67
423.868,AccPause,2214
423.875,AccDirty,67
423.875,AccPause,2220
423.882,AccDirty,67
423.882,AccPause,2226
423.889,AccDirty,67
423.889,AccPause,2232
423.896,AccDirty,67
423.896,AccPause,2238
423.903,AccDirty,67
423.903,AccPause,2244
423.910,AccDirty,67
423.910,AccPause,2250
423.917,AccDirty,67
423.917,AccPause,2256
423.924,AccDirty,67
423.924,AccPause,2262
423.931,AccDirty,67
423.931,AccPause,2268
423.938,AccDirty,67
423.938,AccPause,2274
423.945,AccDirty,67
423.945,AccPause,2280
423.952,AccDirty,67
423.952,AccPause,2286
423.959,AccDirty,67
423.959,AccPause,2292
423.966,AccDirty,67
423.966,AccPause,2298
423.973,AccDirty,67
423.973,AccPause,2304
423.980,AccDirty,67
423.980,AccPause,2310
